OBJECTID,ZoningDistrict,CaseNumber,CaseName,EnergovID,RemainingGFA,ChangeTrigger,GISAcreage,MagistDist,GlobalID,CreateUser,CreateDate,LastEditUser,LastEditDate,ProjectStatus,CampusName,PlannedGFA,DCOOD,ShapeSTArea,ShapeSTLength
38,PMD,REZ2019-00022,Blackburn Land Bay 5,bbbe6bc1-1a71-4b91-a844-a742a14e031d,1275141,1,28.35506353,Gainesville,{64ED45DA-D9C0-482F-9BAE-243D6F38F6B3},,,,,Planned,Aligned Manassas,1275141,Yes,1235148.29562517,4692.71445243407
39,M-1,REZ1969-0021,Wheeler Smith Wood Solite,06882327-a3cd-4bd2-9646-9f72bd231847,0,1,17.26924902,Gainesville,{F65F7FD4-7D37-4E92-95AE-5BE9ADC09EBA},,,,,Completed,Amazon Mason King Court,259543,Yes,752248.487194565,4970.49169799062
40,M-1,REZ1969-0021,Wheeler Smith Wood Solite,06882327-a3cd-4bd2-9646-9f72bd231847,0,1,25.79343617,Gainesville,{21C697C6-4185-4693-BFC5-E974CC4F120E},,,,,Completed,Amazon Doane Drive,366834,Yes,1123657.44247269,4455.20107300396
41,M-1,REZ2024-00001,Manassas Point PRA,112446d3-3458-4c10-9081-42d87805d421,1062501,1,39.9447077,Gainesville,{3F42A084-44CB-4CDD-97FB-0DF963958883},,,RFH7157A,2026/04/02 11:51:12+00,Planned,Iron Mountain Manassas Point,5818876,Yes,1740105.15695589,7365.53077838211
42,O(M),REZ2022-00015,Potomac Technology Park,61c4d6bd-7ac7-41d5-8d7b-f554a223316b,1170320,1,51.66752812,Potomac,{05A97AF0-FF0D-4737-8E72-41580DDFDB02},,,,,Pending,Potomac Technology Park,1170320,No,2250637.52484638,7331.40251362733
43,M-2,REZ2020-00011,Gainesville Tech Park,01fffe17-1fdc-46e3-bd5c-f5795320e7e6,343402,1,53.41238102,Brentsville,{F40404C1-98FC-467D-951B-C8436184041B},,,,,Under Construction,Gainesville Tech Park Piney Branch,343402,Yes,2326533.29080227,7350.7518551709
44,PBD,REZ1999-0038,Battlefield Business Park,8c7bc511-c750-4e31-b1ca-f6237f2ac2e8,0,1,7.34674759,Gainesville,{0A6D75A9-4F1F-4B06-9C78-0203D6736CB9},,,RFH7157A,2026/03/09 13:20:52+00,Completed,Equinix Manassas DC14,859040,Yes,320024.325140195,2630.4690880159
45,PBD,REZ1988-0030,Battlefield Business Park,67ae5cc3-3e5f-439d-aa9f-b079257e7927,0,1,20.32622547,Gainesville,{5CD5BF5F-B92C-414F-896B-A6FF81CE6DCA},,,,,Completed,Verizon Manassas 7777 Infantry Ridge,227465,Yes,885410.381554883,3587.34200574375
46,PBD,REZ2019-00034,Youth For Tomorrow,222f06a0-c603-4233-9289-74ff5439b34d,702057,1,49.83612687,Brentsville,{87903A5B-51A9-4359-B16D-A600288E9F9E},,,,,Under Construction,Stack Infrastructure NVA02 YFT,702057,No,2170861.6864996,7654.63347180558
47,PBD,REZ2019-00028,Avanti at Innovation PRA,08eefd48-2ab4-438d-9d00-e80397055cff,568117,1,106.128665,Brentsville,{B4F5102C-E670-42C6-A0FB-F7AFB74CBCA7},,,,,Under Construction,Stack Infrastructure NVA02 Manassas,1559831,Yes,4623010.83701603,10194.2209981464
48,M-2,REZ2025-00014,Hornbaker Road,a0b0e2d0-2ccb-47b1-ab3f-3275db071d01,435760,1,40.0172547,Brentsville,{15A72040-1179-4955-A645-A271CDC13914},,,RFH7157A,2026/04/13 18:17:31+00,Planned,Hornbaker Road,435760,No,907997.500828123,4303.97030898311
49,M-2,REZ2025-00026,Project Well,f91d05d2-9f16-4321-8d9d-8c28831b0c2d,672000,1,43.94216321,Brentsville,{4D69D3F7-A9B2-44F8-9027-F649C0D6A65C},,,,,Pending,Project Well,672000,Yes,1914089.53160586,6579.36853450588
50,PBD,REZ2026-00032,Manassas Corporate Center 8,90ca5774-aab1-4185-a26e-d3aa610f23f4,859040,1,22.96103772,Coles,{E4DB4CEF-C27D-4271-AE9A-11CE04416B1C},RFH7157A,2026/03/09 13:20:52+00,RFH7157A,2026/03/09 13:31:46+00,Pending,CloudHQ Manassas Corporate Center (MCC),859040,Yes,1000182.80316595,5061.44545379618
54,M-1,REZ1958-0021,BOCS,7b3b0a5f-c395-47c0-99c0-eb53f411acb3,0,0,31.76941461,Brentsville,{E362DC56-77E9-4765-88D3-F15DE2F99448},RFH7157A,2026/03/11 12:13:50+00,RFH7157A,2026/03/11 12:17:08+00,Completed,Digital Realty,345968,Yes,1383875.70055467,5685.48864167267
