X,Y,OBJECTID,GlobalID,GPIN,BuildingName,PID,Address,BuildingID,BuildingStatus,YearBuilt,GFASource,PermitCase,PermitStatus,GFA,DCOOD,OCCDate,BPGFA,EnergovID,CreateUser,CreateDate,LastEditUser,LastEditDate,ApprovedGFA,PermittedGFA,REATaxedGFA,PlanningCaseNumber,PlanningCaseName,PlanCaseEnergovID
11757284.1600738,6969876.69130425,64,{3EEE2E42-617A-4C5F-B0C4-B380DE703CE7},7596-79-3589,Iron Mountain Manassas Point DC1,P230400004,11461 CONNECTIVITY DR,DC1,Planned,,Proffer,,Planned,580035,Yes,,,,,,RFH7157A,2026/02/02 05:36:03+00,,,,,,
11757853.6979768,6969650.45192733,65,{AF883079-F3CE-4398-8016-4E21FC552222},7596-89-0058,Iron Mountain Manassas Point DC3,P230400005,11451 CONNECTIVITY DR,DC3,Planned,,Proffer,,Planned,580035,Yes,,,,,,RFH7157A,2026/02/02 05:36:03+00,,,,,,
11757742.2667692,6970218.86450443,66,{676DB242-71D7-43CF-805E-6120886ECDB0},7596-79-3589,Iron Mountain Manassas Point DC2,P230400006,11441 CONNECTIVITY DR,DC2,Planned,,Proffer,,Planned,580035,Yes,,,,,,RFH7157A,2026/02/02 05:36:03+00,,,,,,
11757158.4851283,6972656.05418384,67,{B9A7B59D-9A4B-4B42-B106-09F2DAFE112A},7597-72-1867,Amazon AWS IAD-7,P759701257,7505 MASON KING CT,IAD7,Completed,2012,Estimated,BLD2009-02929,Finaled,167193,Yes,2012/09/20 00:00:00+00,102344,062d2d05-8c1f-4475-8497-25623bb73fef,,,PLANNING,2026/02/26 16:40:06+00,,,109543,,,
11754200.1757563,6972070.89820193,68,{C81E4D95-73C8-4B87-8971-7CF24921D583},7597-42-2107,Amazon AWS IAD-14,P759701644,11801 BREWERS SPRING RD,IAD14,Completed,2013,Estimated,BLD2012-05261,Finaled,218993,Yes,2013/01/17 00:00:00+00,115930,4da9f554-68bc-4592-842e-c1a46ad95efa,,,PLANNING,2026/02/26 16:40:06+00,,,115600,,,
11756220.1608895,6972384.94941109,69,{6D42C5A5-C196-44B8-B9B0-9F21D59FF6DB},7597-62-3841,Amazon AWS IAD-11,P759700487,7510 MASON KING CT,IAD11,Completed,1986,Estimated,85101402B00,Finaled,167145,Yes,1986/06/04 00:00:00+00,99999,f96be129-35b8-4a53-9429-ddc452e8cf92,,,PLANNING,2026/02/26 16:40:06+00,,,120000,,,
11756534.8872942,6972327.74217643,70,{68185CDA-AA32-4F88-9467-1B2F2BF64A28},7597-62-3841,Amazon AWS IAD-24,P759700488,7610 MASON KING CT,IAD24,Completed,2012,Estimated,BLD2012-02503,Finaled,41786,Yes,2012/09/20 00:00:00+00,21500,38b11878-da8b-496f-b559-381a5b0674eb,,,PLANNING,2026/02/26 16:40:06+00,,,30000,,,
11754128.257593,6972598.51722543,71,{5015DC26-0D40-477A-87BB-03010B025DC6},7597-42-1456,Amazon AWS IAD-52,P759701648,11800 BREWERS SPRING RD,IAD52,Completed,2014,Estimated,BLD2013-03732,Finaled,170925,Yes,2014/03/04 00:00:00+00,123534,e0951eef-e6b5-47c4-8348-235d073d50f2,,,PLANNING,2026/02/26 16:40:06+00,,,123534,,,
11754104.7438605,6972996.89438142,72,{67F801D4-BEA5-4A30-BCD3-1E4FEF762FA0},7597-42-1395,Amazon AWS IAD-59,P759701649,7600 DOANE DR,IAD59,Completed,2015,Estimated,BLD2014-02896,Finaled,171911,Yes,2015/04/02 00:00:00+00,127700,d8cf2bda-bfa9-4914-95dc-c6511d4d02a9,,,PLANNING,2026/02/26 16:40:06+00,,,127700,,,
11758585.6056337,6975316.8428255,73,{7A2904E3-2675-45F8-9A12-CC15E60E239E},7597-85-1215,Microsoft Azure MNZ01,P240500206,11320 BALLS FORD RD,MNZ01,Planned,,Proffer,BLD2024-06291,Pending,566280,Yes,,299666,d3d1ac93-fcaa-4ff1-8aa1-b7f977b4bccb,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11757933.6627118,6975461.70441242,74,{F6C36936-E06B-427F-AFD1-CE0502836C7A},7597-85-1215,Microsoft Azure MNZ02,,11324 BALLS FORD RD,MNZ02,Planned,,Proffer,,Planned,566280,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11759964.2035983,6975436.42001417,75,{7A899C6C-7EC6-4DC8-8372-515B72DB93DB},7597-95-8953,Aligned Data Centers IAD05,P759701609,10920 BALLS FORD RD,IAD05,Planned,,Proffer,,Planned,1275141,Yes,,,,,,RFH7157A,2026/01/22 23:41:27+00,1275141,,,,,
11744497.1354511,6973672.93141517,76,{A42E6743-D382-464E-B815-B93B27BDB814},7497-43-7416,Microsoft Azure 3,P633199165,13490 UNIVERSITY BLVD,3,Planned,,Estimated,,Planned,425459,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11744600.2566359,6971804.83410151,77,{328FE6C8-5807-4B7F-BC04-F87760F7C4F6},7497-41-7199,Amazon AWS IAD B,P62934836,7725 DEACON FALLS DR,B,Under Construction,,Estimated,BLD2022-05922,Issued,318739,Yes,,258716,c20554b9-17a3-4a2e-ab27-453450f1f9d1,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11743337.0354091,6972555.83883309,78,{B7B799BC-88A9-4389-A016-B5AC5FB55245},7497-32-5305,Amazon AWS IAD B,P230300369,13225 SKYLARK VIEW WAY,IAD B,Planned,,Estimated,,Planned,634891,Yes,,,,,,RFH7157A,2026/02/02 05:16:47+00,,,,,,
11747086.4032384,6972334.93704392,79,{3CB01682-877E-401F-8781-2ADBDB4A91AA},7497-61-8568,Google Bristow 2,,6201 WELLINGTON RD,2,Planned,,Estimated,,Planned,350000,Yes,,,,,,,,,,,,,
11746500.2036234,6971373.68338901,80,{127849A0-E7AB-4852-8557-A73832518EA5},7497-61-8568,Google Bristow 3,,6201 WELLINGTON RD,3,Planned,,Estimated,,Planned,350000,Yes,,,,,,,,,,,,,
11746297.6180706,6970526.86487268,81,{F9247893-200B-4672-A363-C435F549657E},7497-61-8568,Google Bristow 5,,6201 WELLINGTON RD,5,Planned,,Estimated,,Planned,350000,Yes,,,,,,,,,,,,,
11746316.0232175,6972958.83769901,82,{8839B163-02E3-4CD3-90FB-0DCC59E41714},7497-61-8568,Google Bristow 1,,6201 WELLINGTON RD,1,Planned,,Estimated,,Planned,350000,Yes,,,,,,,,,,,,,
11744415.6575957,6976611.8996186,83,{D388F7DA-0138-43E7-B08D-97C4ADD1C8DB},7497-46-2858,Corscale Gainesville Crossing 1,P729354965,13760 UNIVERSITY BLVD,GCDC1,Completed,2024,Proffer,BLD2021-08185,Finaled,600000,No,2024/05/24 00:00:00+00,482223,2fadb699-9f93-441e-9638-2aa5df369eca,,,RFH7157A,2026/03/10 14:33:08+00,600000,,482223,REZ2018-00008,GAINESVILLE CROSSING,e84871aa-43c8-4189-9b23-16244c45106e
11744927.2697614,6975545.24689625,84,{0BEA01F3-D04D-4B96-9575-27B9B03D28F2},7497-45-9757,Corscale Gainesville Crossing 3,P221200019,13720 UNIVERSITY BLVD,GCDC3,Under Construction,,Proffer,BLD2024-07030,Issued,600000,No,,363220,20ce9262-bd0f-447c-92fe-41d42a1adc8a,,,RFH7157A,2026/03/10 14:33:08+00,600000,,363220,REZ2018-00008,GAINESVILLE CROSSING,e84871aa-43c8-4189-9b23-16244c45106e
11745794.7968978,6977045.33772808,85,{50EF89A8-391E-407F-990D-073521DBBB6B},7497-57-7904,Corscale Gainesville Crossing 5,P240900167,13750 UNIVERSITY BLVD,GCDC5,Planned,,Proffer,,Planned,600000,No,,,,,,RFH7157A,2026/03/10 14:33:08+00,600000,,,REZ2018-00008,GAINESVILLE CROSSING,e84871aa-43c8-4189-9b23-16244c45106e
