category,n_gt,v3_precision,v3_recall,v3_f1,v4_precision,v4_recall,v4_f1
urgency,51,0.3333333333333333,0.9607843137254902,0.49494949494949486,0.3893805309734513,0.8627450980392157,0.5365853658536586
scarcity,27,0.26666666666666666,0.8888888888888888,0.41025641025641024,0.2558139534883721,0.8148148148148148,0.3893805309734513
social_proof,16,0.1111111111111111,0.4375,0.1772151898734177,0.1702127659574468,0.5,0.25396825396825395
guilt_wording,12,0.21052631578947367,0.6666666666666666,0.32,0.2558139534883721,0.9166666666666666,0.4
other,205,0.5217391304347826,0.23414634146341465,0.32323232323232326,0.6071428571428571,0.16585365853658537,0.26053639846743293
